timestamp,iso,value
1785787550,2026-08-03T20:05:50+00:00,5360577
1785787580,2026-08-03T20:06:20+00:00,5377397
1785787610,2026-08-03T20:06:50+00:00,5391300
1785787640,2026-08-03T20:07:20+00:00,5403212
1785787670,2026-08-03T20:07:50+00:00,5419988
1785787700,2026-08-03T20:08:20+00:00,5432594
1785787730,2026-08-03T20:08:50+00:00,5407207
1785787760,2026-08-03T20:09:20+00:00,5417799
1785787790,2026-08-03T20:09:50+00:00,5427006
1785787820,2026-08-03T20:10:20+00:00,5447865
1785787850,2026-08-03T20:10:50+00:00,5423156
1785787880,2026-08-03T20:11:20+00:00,5436574
1785787910,2026-08-03T20:11:50+00:00,5453459
1785787940,2026-08-03T20:12:20+00:00,5468586
1785787970,2026-08-03T20:12:50+00:00,5484574
1785788000,2026-08-03T20:13:20+00:00,5501869
1785788030,2026-08-03T20:13:50+00:00,5471258
1785788060,2026-08-03T20:14:20+00:00,5485640
1785788090,2026-08-03T20:14:50+00:00,5504586
1785788120,2026-08-03T20:15:20+00:00,5523298
1785788150,2026-08-03T20:15:50+00:00,5536917
1785788180,2026-08-03T20:16:20+00:00,5536526
1785788210,2026-08-03T20:16:50+00:00,5500493
1785788240,2026-08-03T20:17:20+00:00,5519624
1785788270,2026-08-03T20:17:50+00:00,5526878
1785788300,2026-08-03T20:18:20+00:00,5542896
1785788330,2026-08-03T20:18:50+00:00,5559768
1785788360,2026-08-03T20:19:20+00:00,5570831
1785788390,2026-08-03T20:19:50+00:00,5587300
1785788420,2026-08-03T20:20:20+00:00,5603425
1785788450,2026-08-03T20:20:50+00:00,5618277
1785788480,2026-08-03T20:21:20+00:00,5632412
1785788510,2026-08-03T20:21:50+00:00,5650247
1785788540,2026-08-03T20:22:20+00:00,5666922
1785788570,2026-08-03T20:22:50+00:00,5672535
1785788600,2026-08-03T20:23:20+00:00,5694213
1785788630,2026-08-03T20:23:50+00:00,5638679
1785788660,2026-08-03T20:24:20+00:00,5661647
1785788690,2026-08-03T20:24:50+00:00,5666098
1785788720,2026-08-03T20:25:20+00:00,5688227
1785788750,2026-08-03T20:25:50+00:00,5700486
1785788780,2026-08-03T20:26:20+00:00,5716921
1785788810,2026-08-03T20:26:50+00:00,5651203
1785788840,2026-08-03T20:27:20+00:00,5665920
1785788870,2026-08-03T20:27:50+00:00,5676080
1785788900,2026-08-03T20:28:20+00:00,5696939
1785788930,2026-08-03T20:28:50+00:00,5710634
1785788960,2026-08-03T20:29:20+00:00,5729745
1785788990,2026-08-03T20:29:50+00:00,5690286
1785789020,2026-08-03T20:30:20+00:00,5708261
1785789050,2026-08-03T20:30:50+00:00,5724592
1785789080,2026-08-03T20:31:20+00:00,5741606
1785789110,2026-08-03T20:31:50+00:00,5715319
1785789140,2026-08-03T20:32:20+00:00,5731850
1785789170,2026-08-03T20:32:50+00:00,5795544
1785789200,2026-08-03T20:33:20+00:00,5814694
1785789230,2026-08-03T20:33:50+00:00,5828063
1785789260,2026-08-03T20:34:20+00:00,5843515
1785789290,2026-08-03T20:34:50+00:00,5859454
1785789320,2026-08-03T20:35:20+00:00,5875186
1785789350,2026-08-03T20:35:50+00:00,5891711
1785789380,2026-08-03T20:36:20+00:00,5904212
1785789410,2026-08-03T20:36:50+00:00,5919195
1785789440,2026-08-03T20:37:20+00:00,5933918
1785789470,2026-08-03T20:37:50+00:00,5944231
1785789500,2026-08-03T20:38:20+00:00,5962098
1785789530,2026-08-03T20:38:50+00:00,5979022
1785789560,2026-08-03T20:39:20+00:00,5995133
1785789590,2026-08-03T20:39:50+00:00,6007805
1785789620,2026-08-03T20:40:20+00:00,6028033
1785789650,2026-08-03T20:40:50+00:00,6045664
1785789680,2026-08-03T20:41:20+00:00,6063269
1785789710,2026-08-03T20:41:50+00:00,6076749
1785789740,2026-08-03T20:42:20+00:00,6094753
1785789770,2026-08-03T20:42:50+00:00,6018235
1785789800,2026-08-03T20:43:20+00:00,6041300
1785789830,2026-08-03T20:43:50+00:00,6055756
1785789860,2026-08-03T20:44:20+00:00,6069901
1785789890,2026-08-03T20:44:50+00:00,6082801
1785789920,2026-08-03T20:45:20+00:00,6096912
1785789950,2026-08-03T20:45:50+00:00,6112152
1785789980,2026-08-03T20:46:20+00:00,6124278
1785790010,2026-08-03T20:46:50+00:00,5943844
1785790040,2026-08-03T20:47:20+00:00,5958236
1785790070,2026-08-03T20:47:50+00:00,5970876
1785790100,2026-08-03T20:48:20+00:00,5989607
1785790130,2026-08-03T20:48:50+00:00,6002636
1785790160,2026-08-03T20:49:20+00:00,6020569
