le_seconds,cumulative_count,bucket_count
5.0,0.0,0.0
10.0,0.0,0.0
15.0,0.0,0.0
20.0,0.0,0.0
25.0,89.0052463647996,89.0052463647996
30.0,448.0264086677553,359.02116230295564
40.0,737.0434446163742,289.01703594861897
50.0,737.0434446163742,0.0
60.0,737.0434446163742,0.0
90.0,737.0434446163742,0.0
120.0,737.0434446163742,0.0
inf,737.0434446163742,0.0
